rf_code,codepoints,name,group,subgroup,order,status,reason
,1FAF1 1F3FE,rightwards hand: medium-dark skin tone,People & Body,hand-fingers-open,203,excluded,skin_tone_variant
,1FAF1 1F3FF,rightwards hand: dark skin tone,People & Body,hand-fingers-open,204,excluded,skin_tone_variant
167,1FAF2,leftwards hand,People & Body,hand-fingers-open,205,included,
,1FAF2 1F3FB,leftwards hand: light skin tone,People & Body,hand-fingers-open,206,excluded,skin_tone_variant
,1FAF2 1F3FC,leftwards hand: medium-light skin tone,People & Body,hand-fingers-open,207,excluded,skin_tone_variant
,1FAF2 1F3FD,leftwards hand: medium skin tone,People & Body,hand-fingers-open,208,excluded,skin_tone_variant
,1FAF2 1F3FE,leftwards hand: medium-dark skin tone,People & Body,hand-fingers-open,209,excluded,skin_tone_variant
,1FAF2 1F3FF,leftwards hand: dark skin tone,People & Body,hand-fingers-open,210,excluded,skin_tone_variant
168,1FAF3,palm down hand,People & Body,hand-fingers-open,211,included,
,1FAF3 1F3FB,palm down hand: light skin tone,People & Body,hand-fingers-open,212,excluded,skin_tone_variant
,1FAF3 1F3FC,palm down hand: medium-light skin tone,People & Body,hand-fingers-open,213,excluded,skin_tone_variant
,1FAF3 1F3FD,palm down hand: medium skin tone,People & Body,hand-fingers-open,214,excluded,skin_tone_variant
,1FAF3 1F3FE,palm down hand: medium-dark skin tone,People & Body,hand-fingers-open,215,excluded,skin_tone_variant
,1FAF3 1F3FF,palm down hand: dark skin tone,People & Body,hand-fingers-open,216,excluded,skin_tone_variant
169,1FAF4,palm up hand,People & Body,hand-fingers-open,217,included,
,1FAF4 1F3FB,palm up hand: light skin tone,People & Body,hand-fingers-open,218,excluded,skin_tone_variant
,1FAF4 1F3FC,palm up hand: medium-light skin tone,People & Body,hand-fingers-open,219,excluded,skin_tone_variant
,1FAF4 1F3FD,palm up hand: medium skin tone,People & Body,hand-fingers-open,220,excluded,skin_tone_variant
,1FAF4 1F3FE,palm up hand: medium-dark skin tone,People & Body,hand-fingers-open,221,excluded,skin_tone_variant
,1FAF4 1F3FF,palm up hand: dark skin tone,People & Body,hand-fingers-open,222,excluded,skin_tone_variant
170,1FAF7,leftwards pushing hand,People & Body,hand-fingers-open,223,included,
,1FAF7 1F3FB,leftwards pushing hand: light skin tone,People & Body,hand-fingers-open,224,excluded,skin_tone_variant
,1FAF7 1F3FC,leftwards pushing hand: medium-light skin tone,People & Body,hand-fingers-open,225,excluded,skin_tone_variant
,1FAF7 1F3FD,leftwards pushing hand: medium skin tone,People & Body,hand-fingers-open,226,excluded,skin_tone_variant
,1FAF7 1F3FE,leftwards pushing hand: medium-dark skin tone,People & Body,hand-fingers-open,227,excluded,skin_tone_variant
,1FAF7 1F3FF,leftwards pushing hand: dark skin tone,People & Body,hand-fingers-open,228,excluded,skin_tone_variant
171,1FAF8,rightwards pushing hand,People & Body,hand-fingers-open,229,included,
,1FAF8 1F3FB,rightwards pushing hand: light skin tone,People & Body,hand-fingers-open,230,excluded,skin_tone_variant
,1FAF8 1F3FC,rightwards pushing hand: medium-light skin tone,People & Body,hand-fingers-open,231,excluded,skin_tone_variant
,1FAF8 1F3FD,rightwards pushing hand: medium skin tone,People & Body,hand-fingers-open,232,excluded,skin_tone_variant
,1FAF8 1F3FE,rightwards pushing hand: medium-dark skin tone,People & Body,hand-fingers-open,233,excluded,skin_tone_variant
,1FAF8 1F3FF,rightwards pushing hand: dark skin tone,People & Body,hand-fingers-open,234,excluded,skin_tone_variant
172,1F44C,OK hand,People & Body,hand-fingers-partial,235,included,
,1F44C 1F3FB,OK hand: light skin tone,People & Body,hand-fingers-partial,236,excluded,skin_tone_variant
,1F44C 1F3FC,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,237,excluded,skin_tone_variant
,1F44C 1F3FD,OK hand: medium skin tone,People & Body,hand-fingers-partial,238,excluded,skin_tone_variant
,1F44C 1F3FE,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,239,excluded,skin_tone_variant
,1F44C 1F3FF,OK hand: dark skin tone,People & Body,hand-fingers-partial,240,excluded,skin_tone_variant
173,1F90C,pinched fingers,People & Body,hand-fingers-partial,241,included,
,1F90C 1F3FB,pinched fingers: light skin tone,People & Body,hand-fingers-partial,242,excluded,skin_tone_variant
,1F90C 1F3FC,pinched fingers: medium-light skin tone,People & Body,hand-fingers-partial,243,excluded,skin_tone_variant
,1F90C 1F3FD,pinched fingers: medium skin tone,People & Body,hand-fingers-partial,244,excluded,skin_tone_variant
,1F90C 1F3FE,pinched fingers: medium-dark skin tone,People & Body,hand-fingers-partial,245,excluded,skin_tone_variant
,1F90C 1F3FF,pinched fingers: dark skin tone,People & Body,hand-fingers-partial,246,excluded,skin_tone_variant
174,1F90F,pinching hand,People & Body,hand-fingers-partial,247,included,
,1F90F 1F3FB,pinching hand: light skin tone,People & Body,hand-fingers-partial,248,excluded,skin_tone_variant
,1F90F 1F3FC,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,249,excluded,skin_tone_variant
,1F90F 1F3FD,pinching hand: medium skin tone,People & Body,hand-fingers-partial,250,excluded,skin_tone_variant
,1F90F 1F3FE,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,251,excluded,skin_tone_variant
,1F90F 1F3FF,pinching hand: dark skin tone,People & Body,hand-fingers-partial,252,excluded,skin_tone_variant
175,270C FE0F,victory hand,People & Body,hand-fingers-partial,253,included,
,270C 1F3FB,victory hand: light skin tone,People & Body,hand-fingers-partial,254,excluded,skin_tone_variant
,270C 1F3FC,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,255,excluded,skin_tone_variant
,270C 1F3FD,victory hand: medium skin tone,People & Body,hand-fingers-partial,256,excluded,skin_tone_variant
,270C 1F3FE,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,257,excluded,skin_tone_variant
,270C 1F3FF,victory hand: dark skin tone,People & Body,hand-fingers-partial,258,excluded,skin_tone_variant
176,1F91E,crossed fingers,People & Body,hand-fingers-partial,259,included,
,1F91E 1F3FB,crossed fingers: light skin tone,People & Body,hand-fingers-partial,260,excluded,skin_tone_variant
,1F91E 1F3FC,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,261,excluded,skin_tone_variant
,1F91E 1F3FD,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,262,excluded,skin_tone_variant
,1F91E 1F3FE,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,263,excluded,skin_tone_variant
,1F91E 1F3FF,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,264,excluded,skin_tone_variant
177,1FAF0,hand with index finger and thumb crossed,People & Body,hand-fingers-partial,265,included,
,1FAF0 1F3FB,hand with index finger and thumb crossed: light skin tone,People & Body,hand-fingers-partial,266,excluded,skin_tone_variant
,1FAF0 1F3FC,hand with index finger and thumb crossed: medium-light skin tone,People & Body,hand-fingers-partial,267,excluded,skin_tone_variant
,1FAF0 1F3FD,hand with index finger and thumb crossed: medium skin tone,People & Body,hand-fingers-partial,268,excluded,skin_tone_variant
,1FAF0 1F3FE,hand with index finger and thumb crossed: medium-dark skin tone,People & Body,hand-fingers-partial,269,excluded,skin_tone_variant
,1FAF0 1F3FF,hand with index finger and thumb crossed: dark skin tone,People & Body,hand-fingers-partial,270,excluded,skin_tone_variant
178,1F91F,love-you gesture,People & Body,hand-fingers-partial,271,included,
,1F91F 1F3FB,love-you gesture: light skin tone,People & Body,hand-fingers-partial,272,excluded,skin_tone_variant
,1F91F 1F3FC,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,273,excluded,skin_tone_variant
,1F91F 1F3FD,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,274,excluded,skin_tone_variant
,1F91F 1F3FE,love-you gesture: medium-dark skin tone,People & Body,hand-fingers-partial,275,excluded,skin_tone_variant
,1F91F 1F3FF,love-you gesture: dark skin tone,People & Body,hand-fingers-partial,276,excluded,skin_tone_variant
179,1F918,sign of the horns,People & Body,hand-fingers-partial,277,included,
,1F918 1F3FB,sign of the horns: light skin tone,People & Body,hand-fingers-partial,278,excluded,skin_tone_variant
,1F918 1F3FC,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial,279,excluded,skin_tone_variant
,1F918 1F3FD,sign of the horns: medium skin tone,People & Body,hand-fingers-partial,280,excluded,skin_tone_variant
,1F918 1F3FE,sign of the horns: medium-dark skin tone,People & Body,hand-fingers-partial,281,excluded,skin_tone_variant
,1F918 1F3FF,sign of the horns: dark skin tone,People & Body,hand-fingers-partial,282,excluded,skin_tone_variant
180,1F919,call me hand,People & Body,hand-fingers-partial,283,included,
,1F919 1F3FB,call me hand: light skin tone,People & Body,hand-fingers-partial,284,excluded,skin_tone_variant
,1F919 1F3FC,call me hand: medium-light skin tone,People & Body,hand-fingers-partial,285,excluded,skin_tone_variant
,1F919 1F3FD,call me hand: medium skin tone,People & Body,hand-fingers-partial,286,excluded,skin_tone_variant
,1F919 1F3FE,call me hand: medium-dark skin tone,People & Body,hand-fingers-partial,287,excluded,skin_tone_variant
,1F919 1F3FF,call me hand: dark skin tone,People & Body,hand-fingers-partial,288,excluded,skin_tone_variant
181,1F448,backhand index pointing left,People & Body,hand-single-finger,289,included,
,1F448 1F3FB,backhand index pointing left: light skin tone,People & Body,hand-single-finger,290,excluded,skin_tone_variant
,1F448 1F3FC,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger,291,excluded,skin_tone_variant
,1F448 1F3FD,backhand index pointing left: medium skin tone,People & Body,hand-single-finger,292,excluded,skin_tone_variant
,1F448 1F3FE,backhand index pointing left: medium-dark skin tone,People & Body,hand-single-finger,293,excluded,skin_tone_variant
,1F448 1F3FF,backhand index pointing left: dark skin tone,People & Body,hand-single-finger,294,excluded,skin_tone_variant
182,1F449,backhand index pointing right,People & Body,hand-single-finger,295,included,
