rf_code,codepoints,name,group,subgroup,order,joypixels_file,status,reason
,1F469 200D 1F9AF,woman with white cane,People & Body,person-activity,1642,1f469-1f9af.png,excluded,zwj_sequence
,1F469 1F3FB 200D 1F9AF,woman with white cane: light skin tone,People & Body,person-activity,1643,1f469-1f3fb-1f9af.png,excluded,skin_tone_variant
,1F469 1F3FC 200D 1F9AF,woman with white cane: medium-light skin tone,People & Body,person-activity,1644,1f469-1f3fc-1f9af.png,excluded,skin_tone_variant
,1F469 1F3FD 200D 1F9AF,woman with white cane: medium skin tone,People & Body,person-activity,1645,1f469-1f3fd-1f9af.png,excluded,skin_tone_variant
,1F469 1F3FE 200D 1F9AF,woman with white cane: medium-dark skin tone,People & Body,person-activity,1646,1f469-1f3fe-1f9af.png,excluded,skin_tone_variant
,1F469 1F3FF 200D 1F9AF,woman with white cane: dark skin tone,People & Body,person-activity,1647,1f469-1f3ff-1f9af.png,excluded,skin_tone_variant
,1F469 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right,People & Body,person-activity,1648,1f469-1f9af-27a1.png,excluded,zwj_sequence
,1F469 1F3FB 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right: light skin tone,People & Body,person-activity,1649,1f469-1f3fb-1f9af-27a1.png,excluded,skin_tone_variant
,1F469 1F3FC 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right: medium-light skin tone,People & Body,person-activity,1650,1f469-1f3fc-1f9af-27a1.png,excluded,skin_tone_variant
,1F469 1F3FD 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right: medium skin tone,People & Body,person-activity,1651,1f469-1f3fd-1f9af-27a1.png,excluded,skin_tone_variant
,1F469 1F3FE 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right: medium-dark skin tone,People & Body,person-activity,1652,1f469-1f3fe-1f9af-27a1.png,excluded,skin_tone_variant
,1F469 1F3FF 200D 1F9AF 200D 27A1 FE0F,woman with white cane facing right: dark skin tone,People & Body,person-activity,1653,1f469-1f3ff-1f9af-27a1.png,excluded,skin_tone_variant
